Train,Pop
Travis Porter,Rap/Hip Hop
Travis Tritt,Country
Trey Songz,Rap/Hip Hop
Trick Daddy,Rap/Hip Hop
Trisha Yearwood,Country
Twista,Rap/Hip Hop
Tyga,Rap/Hip Hop
U2,alternative/indie rock
U2,Rock
Uncle Kracker,Country
Unk,Rap/Hip Hop
Usher,Rap/Hip Hop
V.I.C.,Rap/Hip Hop
Van Halen,Rock
Van Morrison,Country
Vanessa Carlton,RB/Soul
Vanilla Ice,Rap/Hip Hop
Vince Gill,Country
Vitamin String Quartet,RB/Soul
Waka Flocka Flame,Rap/Hip Hop
Wale,Rap/Hip Hop
Weezer,Pop
Weird Al Yankovic,Pop
Whitney Houston,Pop
Wilco,Country
Will Smith,Rap/Hip Hop
will.i.am,Rap/Hip Hop
Willie Nelson,Country
Wisin & Yandel,Rap/Hip Hop
Wiz Khalifa,Rap/Hip Hop
Wyclef Jean,Rap/Hip Hop
Yes,RB/Soul
Ying Yang Twins,Rap/Hip Hop
Yo-Yo Ma,Country
Young Jeezy,Rap/Hip Hop
Young Money,Rap/Hip Hop
Yung Joc,Rap/Hip Hop
Zac Brown Band,Country
ZZ Top,Rock
Diana Ross,RB/Soul
Diana Ross and The Supremes,RB/Soul
Marvin Gaye,RB/Soul
Paul McCartney,Pop
George Harrison,Pop
John Lennon,Rock
Janis Joplin,Rock
Led Zepplin,Rock
Frank Sinatra,RB/Soul
Dean Martin,RB/Soul
Dusty Springfield,Country
The Zombies,Rock
James Brown,Rock
Elvis,Rock
The Kinks,Rock
Otis Redding,RB/Soul
Jimi Hendrix,Rock
Ray Charles,RB/Soul
The Four Seasons,RB/Soul
The Temptations,RB/Soul
The Doors,Rock
The Mamas & The Papas,Rock
Sly & The Family Stone,Rock
Cream,Rock
The Ronnettes,Rock
The Velvet Underground,alternative/indie rock
Gladys Knight & The Pips,RB/Soul
The Grateful Dead,Rock
Frank Zappa,alternative/indie rock
Iron Butterfly,Rock
ABBA,Pop
AC/DC,Rock
Al Green,RB/Soul
Alice Copper,Rock
Billy Idol,Rock
Allman Brothers,Country
Brian Eno,alternative/indie rock
The Carpenters,Pop
The Clash,Rock
The Four Tops,RB/Soul
The Go Go's,Pop
Grand Funk Railroad,Rock
Gloria Gaynor,RB/Soul
Iggy Pop,Rock
Kool & the Gang,Rock
Meatloaf,Pop
Sex Pistols,alternative/indie rock
Steely Dan,Rock
The Ramones,Rock
Wham,Pop
New Kids on the Block,Pop
Pat Benatar,Pop
Joan Jett,Pop
Leonard Cohen,alternative/indie rock
New Order,alternative/indie rock
The Yardbirds,Rock
The Animals,Rock
The Shirelles,Pop
Martha & The Vandellas,Pop
The Jackson 5,Pop
Sonny & Cher,Pop
The Turtles,Pop
Ben E. King,RB/Soul
The Miracles,RB/Soul
